TICKER,NAME,Date_12/29/2017,Date_12/31/2018,Return
BKNG,BOOKING HOLDINGS INC,1737.74,1722.42,-0.008816048
AMZN,AMAZON.COM INC,1169.47,1501.97,0.284316827
GOOGL,ALPHABET INC-CL A,1053.4,1044.96,-0.008012151
GOOG,ALPHABET INC-CL C,1046.4,1035.61,-0.010311544
AZO,AUTOZONE INC,711.37,838.34,0.178486582
MTD,METTLER-TOLEDO INTERNATIONAL,619.52,565.58,-0.087067407
ISRG,INTUITIVE SURGICAL INC,364.94,478.92,0.312325314
CMG,CHIPOTLE MEXICAN GRILL INC,289.03,431.79,0.493927966
SHW,SHERWIN-WILLIAMS CO/THE,410.04,393.46,-0.04043508
BLK,BLACKROCK INC,513.71,392.82,-0.235327325
REGN,REGENERON PHARMACEUTICALS,375.96,373.5,-0.006543249
EQIX,EQUINIX INC,453.22,352.56,-0.222099643
ORLY,O'REILLY AUTOMOTIVE INC,240.54,344.33,0.431487486
TDG,TRANSDIGM GROUP INC,274.62,340.06,0.238292914
ABMD,ABIOMED INC,187.41,325.04,0.734379169
BA,BOEING CO/THE,294.91,322.5,0.093553966
BIIB,BIOGEN INC,318.57,300.92,-0.055403836
ILMN,ILLUMINA INC,218.49,299.93,0.372740171
HUM,HUMANA INC,248.07,286.48,0.154835329
CHTR,CHARTER COMMUNICATIONS INC-A,335.96,284.97,-0.151774021
GWW,WW GRAINGER INC,236.25,282.36,0.195174603
NFLX,NETFLIX INC,191.96,267.66,0.39435299
ROP,ROPER TECHNOLOGIES INC,259,266.52,0.029034749
ANTM,ANTHEM INC,225.01,262.63,0.167192569
LMT,LOCKHEED MARTIN CORP,321.05,261.84,-0.184426102
COO,COOPER COS INC/THE,217.88,254.5,0.168074169
AVGO,BROADCOM INC,256.9,254.28,-0.010198521
UNH,UNITEDHEALTH GROUP INC,220.46,249.12,0.130000907
ESS,ESSEX PROPERTY TRUST INC,241.37,245.21,0.015909185
NOC,NORTHROP GRUMMAN CORP,306.91,244.9,-0.202046202
ULTA,ULTA BEAUTY INC,223.66,244.84,0.094697308
WCG,WELLCARE HEALTH PLANS INC,201.11,236.09,0.173934663
ADBE,ADOBE INC,175.24,226.24,0.291029445
BDX,BECTON DICKINSON AND CO,214.06,225.32,0.052602074
TMO,THERMO FISHER SCIENTIFIC INC,189.88,223.79,0.178586476
